id	x	y	cluster	weight<Links>	weight<Total link strength>	label	weight<cluster total n>	weight<cluster country n>	weight<excel top10>	weight<mean percentile>	weight<share top10>	weight<share all>	weight<avg. year>	score<cluster total n>	score<cluster country n>	score<excel top10>	score<mean percentile>	score<share top10>	score<share all>	score<avg. year>
1070	0.0888	-0.0969	6	203	178.625	70_극지지역 담수호에서 침전물, 규조 등을 이용한  기후변동 분석 및 고기후 복원	855	4	0	30.294999999999945	0	0.46783625730994155	2008.0492957746478	855	4	0	30.294999999999945	0	0.46783625730994155	2008.0492957746478
1071	0.5886	-0.5354	1	203	128.2879	71_남해양 생태계의 기후에 따른 변동 및 남극 크릴 새우의 변화	996	30	6.666666666666603	41.356516897081264	1.01522842639593	3.0120481927710845	2006.6461780929867	996	30	6.666666666666603	41.356516897081264	1.01522842639593	3.0120481927710845	2006.6461780929867
1072	-0.7995	0.1384	2	203	157.5925	72_그린란드 빙상 속도 구조 변화 역학 연구	2214	12	0	28.139417989418156	0	0.5420054200542005	2013.2637847375386	2214	12	0	28.139417989418156	0	0.5420054200542005	2013.2637847375386
1073	0.9697	-0.441	1	203	107.4083	73_대게, 새우 등 갑각류의 생물 지리학 및 생태학	518	4	0	19.56875	0	0.7722007722007722	2006.3567073170732	518	4	0	19.56875	0	0.7722007722007722	2006.3567073170732
1074	0.8477	-0.0213	1	203	105.4382	74_기후 변화에 따른 북극 동물 생태 변화	480	2	0	10.85	0	0.4166666666666667	2005.8875192604007	480	2	0	10.85	0	0.4166666666666667	2005.8875192604007
1075	0.4137	-0.2577	1	203	141.209	75_북극해 지역의 유해 조류 번식 메커니즘	507	20	16.75000000000003	47.544233333333395	2.3691654879773774	3.9447731755424065	2010.0197132616488	507	20	16.75000000000003	47.544233333333395	2.3691654879773774	3.9447731755424065	2010.0197132616488
1076	-1.1003	0.464	3	203	20.2777	76_남극대륙에서 관측한 우주	356	12	8.333333333333332	39.11033333333334	0.8123476848090984	3.3707865168539324	2009.8383838383838	356	12	8.333333333333332	39.11033333333334	0.8123476848090984	3.3707865168539324	2009.8383838383838
1077	-1.1267	0.3055	3	203	90.5548	77_지구 방사선대 관측 및 생성과 구조 연구	716	18	5.555555555555777	49.52488888888908	0.5201560468140644	2.5139664804469275	2007.553775743707	716	18	5.555555555555777	49.52488888888908	0.5201560468140644	2.5139664804469275	2007.553775743707
1078	-1.182	-0.1824	2	203	107.57470000000001	78_남극 대륙의 지각 및 내부 구조 연구	547	26	3.8461538461538844	39.93355555555571	0.8768084173608135	4.753199268738574	2009.2923794712285	547	26	3.8461538461538844	39.93355555555571	0.8768084173608135	4.753199268738574	2009.2923794712285
1079	-0.6995	0.3538	3	203	149.5615	79_티벳고원 빙하의 관측	804	5	40.000000000000405	60.07200000000054	1.0103051121438773	0.6218905472636816	2012.11641443539	804	5	40.000000000000405	60.07200000000054	1.0103051121438773	0.6218905472636816	2012.11641443539
